time,windproduction
1,1054.2
2,1672.4
3,1894.6
4,1968.2
5,2116.4
6,2124.2
7,2195.6
8,2425.9
9,2636.3
10,2641.6
11,2510.1
12,2492.3
13,2491.1
14,2544.1
15,2600.4
16,2595.8
17,2748.6
18,2616.7
19,2553.2
20,2231.2
21,1888.1
22,1633.2
23,1465.0
24,1329.6
25,1204.1
26,1141.5
27,1121.7
28,1046.3
29,942.5
30,831.7
31,715.4
32,739.5
33,720.7
34,758.5
35,828.3
36,913.7
37,929.9
38,1019.0
39,1083.6
40,1122.4
41,987.7
42,800.9
43,759.5
44,617.3
45,355.0
46,293.6
47,386.2
48,392.8
49,583.7
50,1080.3
51,1292.8
52,1402.3
53,1383.3
54,1529.1
55,1647.1
56,1979.9
57,2368.4
58,2432.2
59,2490.4
60,2552.5
61,2672.2
62,2706.3
63,2612.3
64,2433.8
65,2263.5
66,2269.7
67,2271.0
68,2397.2
69,2363.6
70,2599.1
71,2513.9
72,2599.6
73,2590.8
74,2792.8
75,2819.3
76,2835.9
77,2867.2
78,2785.1
79,2734.0
80,2746.9
81,2948.3
82,2939.3
83,2874.5
84,2901.9
85,2971.4
86,2985.9
87,3036.5
88,2961.9
89,3100.5
90,2929.2
91,3022.6
92,2978.5
93,3055.5
94,2983.7
95,3052.0
96,2980.7
97,2948.1
98,2939.0
99,2927.6
100,2876.0
101,2823.4
102,2751.3
103,2726.3
104,2795.1
105,2863.1
106,2877.1
107,2860.0
108,2858.3
109,2823.5
110,2748.2
111,2608.6
112,2511.3
113,2477.3
114,2351.7
115,2116.2
116,1762.9
117,1388.9
118,1028.2
119,880.9
120,794.9
121,729.7
122,545.0
123,431.0
124,410.1
125,401.0
126,335.7
127,250.1
128,136.9
129,117.0
130,90.2
131,96.2
132,77.7
133,52.7
134,51.6
135,92.5
136,103.3
137,107.9
138,74.3
139,44.4
140,94.4
141,121.5
142,50.6
143,80.4
144,118.7
145,176.1
146,237.3
147,273.4
148,266.0
149,241.6
150,216.6
151,183.6
152,160.5
153,142.8
154,131.4
155,115.5
156,102.5
157,174.5
158,237.9
159,326.2
160,389.5
161,409.7
162,421.7
163,345.6
164,347.3
165,372.2
166,307.2
167,298.8
168,270.8
