line,capacity
"('SVN', 'AUT')",1251
"('BGR', 'MKD')",1331
"('POL', 'CZE')",2424
"('ROU', 'SRB')",1100
"('DEU', 'FRA')",5130
"('HRV', 'SVN')",4559
"('HUN', 'SRB')",1295
"('AUT', 'ITA')",530
"('GRC', 'MKD')",2800
"('ITA', 'SVN')",1949
"('SRB', 'BIH')",1611
"('BIH', 'MNE')",1986
"('SRB', 'HRV')",1330
"('SVK', 'HUN')",2576
"('FRA', 'BEL')",4511
"('BGR', 'GRC')",1400
"('AUT', 'DEU')",7830
"('CHE', 'ITA')",6014
"('HUN', 'ROU')",2435
"('LUX', 'BEL')",716
"('MKD', 'SRB')",1958
"('CHE', 'DEU')",10600
"('AUT', 'HUN')",2224
"('FRA', 'ESP')",3670
"('CHE', 'AUT')",2580
"('CZE', 'AUT')",1924
"('POL', 'DEU')",3270
"('ALB', 'MNE')",276
"('DEU', 'NLD')",7100
"('BEL', 'NLD')",11270
"('HRV', 'HUN')",2510
"('CHE', 'FRA')",9600
"('GRC', 'ALB')",600
"('ALB', 'SRB')",347
"('BGR', 'ROU')",3735
"('POL', 'SVK')",2868
"('DEU', 'LUX')",2860
"('BGR', 'SRB')",1300
"('ITA', 'FRA')",4880
"('SVK', 'CZE')",4190
"('SRB', 'MNE')",1919
"('DEU', 'DNK')",4560
"('BIH', 'HRV')",4198
"('DEU', 'CZE')",3946
"('ESP', 'POR')",3970
