time,tot
1,1341.793
2,1296.737
3,1276.519
4,1265.544
5,1283.884
6,1400.496
7,1719.933
8,2086.881
9,2209.269
10,2199.593
11,2235.191
12,2229.775
13,2174.971
14,2192.012
15,2166.884
16,2116.124
17,2211.579
18,2360.756
19,2228.331
20,2073.378
21,1929.978
22,1794.088
23,1640.507
24,1492.053
25,1396.886
26,1350.53
27,1330.168
28,1337.461
29,1375.008
30,1488.37
31,1820.009
32,2174.466
33,2296.276
34,2259.813
35,2301.186
36,2296.854
37,2248.115
38,2261.546
39,2231.508
40,2172.227
41,2247.249
42,2385.45
43,2256.347
44,2115.474
45,1956.189
46,1828.313
47,1681.519
48,1532.271
49,1443.314
50,1395.059
51,1364.321
52,1353.707
53,1387.499
54,1508.804
55,1844.054
56,2204.07
57,2306.385
58,2250.643
59,2241.545
60,2212.807
61,2149.194
62,2155.043
63,2124.644
64,2098.217
65,2197.355
66,2365.5
67,2247.899
68,2104.427
69,1963.77
70,1854.09
71,1715.961
72,1596.462
73,1511.043
74,1471.979
75,1461.654
76,1474.434
77,1514.508
78,1614.946
79,1885.572
80,2210.28
81,2315.411
82,2262.845
83,2275.842
84,2263.784
85,2211.435
86,2212.735
87,2161.902
88,2112.153
89,2206.958
90,2359.745
91,2241.833
92,2085.509
93,1955.467
94,1834.884
95,1703.542
96,1579.349
97,1503.389
98,1460.066
99,1444.614
100,1440.281
101,1451.906
102,1561.514
103,1919.797
104,2311.223
105,2376.208
106,2322.198
107,2347.398
108,2302.125
109,2203.348
110,2161.397
111,2089.552
112,2074.245
113,2174.971
114,2308.551
115,2231.364
116,2032.077
117,1858.062
118,1743.111
119,1613.935
120,1484.038
121,1374.863
122,1297.676
123,1265.977
124,1254.858
125,1288.505
126,1363.671
127,1476.095
128,1639.279
129,1790.116
130,1867.882
131,1916.476
132,1908.605
133,1865.138
134,1816.832
135,1772.282
136,1787.3
137,1893.154
138,2080.743
139,2013.52
140,1843.982
141,1727.514
142,1631.337
143,1539.203
144,1468.802
145,1441.437
146,1409.161
147,1384.178
148,1382.589
149,1416.165
150,1440.137
151,1506.782
152,1651.987
153,1739.212
154,1802.68
155,1842.538
156,1836.183
157,1835.1
158,1871.997
159,1871.275
160,1874.236
161,1966.586
162,2162.48
163,2099.228
164,1962.904
165,1828.602
166,1729.031
167,1582.67
168,1519.202
